MarkerName	Allele1	Allele2	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
cg07953169			-0.0033	0.0330	0.9197	-+	40.7	1.688	1	0.1939
cg11948688			-0.0342	0.0383	0.3712	--	0.0	0.630	1	0.4275
cg09292306			0.0503	0.0488	0.303	-+	20.1	1.251	1	0.2634
cg15869923			0.0219	0.0506	0.6645	+-	0.0	0.665	1	0.4149
cg23885431			0.0012	0.0657	0.9851	+-	0.0	0.913	1	0.3394
cg04753439			-0.0715	0.0275	0.009367	--	0.0	0.880	1	0.3482
cg20342853			-0.0464	0.0455	0.3082	--	0.0	0.009	1	0.9228
cg13087159			0.0180	0.0668	0.7872	++	0.0	0.001	1	0.9729
cg16639665			0.0533	0.0844	0.5278	++	0.0	0.145	1	0.7029
cg12161460			0.1389	0.1771	0.4329	+-	0.0	0.586	1	0.444
cg09058099			0.0683	0.0459	0.1367	++	0.0	0.639	1	0.4241
cg08113027			-0.0207	0.0499	0.6784	-+	0.0	0.165	1	0.6845
cg23712251			0.0057	0.0268	0.8332	+-	0.0	0.099	1	0.7529
cg27138059			-0.0469	0.0364	0.1977	--	0.0	0.571	1	0.4499
cg04868605			-0.0372	0.0560	0.5068	-+	6.8	1.073	1	0.3003
cg11762346			0.0340	0.0314	0.2786	-+	73.1	3.718	1	0.05382
cg26092983			-0.1083	0.0974	0.2661	--	0.0	0.750	1	0.3864
cg14210321			0.0139	0.0334	0.6775	++	0.0	0.015	1	0.901
cg19611300			0.0517	0.0961	0.5908	++	0.0	0.170	1	0.6802
cg11580525			0.0565	0.0369	0.1256	++	0.0	0.604	1	0.4369
cg22209344			0.0262	0.0867	0.7625	++	0.0	0.046	1	0.8299
cg16708981			-0.2859	0.0850	0.0007675	--	0.0	0.580	1	0.4463
cg26054336			-0.0262	0.0345	0.447	-+	0.0	0.323	1	0.5697
cg23128949			-0.0957	0.0637	0.133	--	0.0	0.017	1	0.895
cg08143192			-0.0215	0.0629	0.7324	--	0.0	0.210	1	0.6466
cg09812137			-0.0730	0.0608	0.2303	--	0.0	0.062	1	0.803
cg00994541			-0.0111	0.0366	0.7613	-+	0.0	0.182	1	0.6696
cg16398541			0.0619	0.0394	0.1164	++	0.0	0.044	1	0.8339
cg22770294			-0.0331	0.0509	0.5154	--	0.0	0.356	1	0.551
cg01552275			0.0327	0.0451	0.4681	++	0.0	0.121	1	0.7276
cg03560850			-0.0324	0.0336	0.334	--	0.0	0.656	1	0.418
cg04232256			0.0039	0.0402	0.9232	+-	0.0	0.013	1	0.9106
cg19739002			-0.0061	0.0644	0.9242	+-	0.0	0.024	1	0.8781
cg08141466			0.0878	0.0455	0.05392	++	0.0	0.124	1	0.725
cg14074284			-0.0212	0.0420	0.6131	-+	69.2	3.243	1	0.07172
cg03256884			-0.0204	0.0413	0.6213	+-	0.0	0.739	1	0.3899
cg09831577			-0.0087	0.0401	0.8278	--	0.0	0.008	1	0.9305
cg06525453			0.0578	0.0512	0.2584	++	0.0	0.158	1	0.6911
cg07167185			0.1057	0.0576	0.06652	++	0.0	0.021	1	0.8854
cg03037947			-0.0157	0.0463	0.7345	--	0.0	0.006	1	0.9395
cg05072085			0.0606	0.0365	0.09693	+-	49.1	1.966	1	0.1608
cg08533428			-0.0319	0.0451	0.4789	--	0.0	0.150	1	0.6981
cg11584332			0.0618	0.0745	0.4071	-+	0.0	0.838	1	0.36
cg15766024			-0.0264	0.0361	0.465	--	0.0	0.108	1	0.7427
cg18455653			0.0737	0.0470	0.1173	++	0.0	0.106	1	0.7452
cg27278739			0.0941	0.0474	0.04709	++	40.6	1.684	1	0.1944
cg14705821			0.0222	0.0443	0.6167	-+	0.0	0.423	1	0.5155
cg00981994			0.0712	0.0513	0.1649	++	0.0	0.303	1	0.582
cg14072027			-0.0195	0.0428	0.6489	-+	77.9	4.515	1	0.0336
cg20902971			0.1299	0.1117	0.2447	++	0.0	0.854	1	0.3554
cg24844423			0.0330	0.0588	0.5747	+-	15.3	1.181	1	0.2772
cg12459316			0.0135	0.0338	0.6903	++	0.0	0.209	1	0.6479
cg14312586			-0.0305	0.0293	0.2985	--	0.0	0.721	1	0.3958
cg25452632			0.0126	0.0499	0.8004	+-	39.3	1.648	1	0.1992
cg12645448			-0.0661	0.0599	0.2695	--	0.0	0.209	1	0.6478
cg15976047			0.0159	0.0502	0.7516	-+	51.0	2.039	1	0.1533
cg06113035			-0.0400	0.0489	0.4132	-+	0.0	0.505	1	0.4773
cg06577446			-0.1386	0.1196	0.2465	+-	62.0	2.631	1	0.1048
cg13641815			-0.0999	0.0603	0.09752	--	0.0	0.855	1	0.3552
cg14746334			0.0829	0.0636	0.1922	++	0.0	0.638	1	0.4246
cg14912727			-0.0390	0.0653	0.5505	--	0.0	0.001	1	0.97
cg12353080			-0.0010	0.0404	0.9796	+-	0.0	0.303	1	0.5818
cg14866827			0.0150	0.0317	0.6355	++	0.0	0.011	1	0.9158
cg17366478			0.0238	0.0524	0.65	++	0.0	0.017	1	0.897
cg17451255			-0.0534	0.0250	0.0323	--	0.0	0.335	1	0.563
cg25087163			0.0432	0.0836	0.6059	+-	0.0	0.377	1	0.5393
cg08579619			-0.0016	0.0440	0.9705	-+	0.0	0.112	1	0.7382
cg07976823			0.0184	0.0456	0.6871	-+	24.6	1.325	1	0.2496
cg01740552			0.1201	0.0647	0.0634	++	0.0	0.008	1	0.9288
cg05225230			0.0050	0.0421	0.9063	-+	0.0	0.079	1	0.7792
cg09560062			0.0492	0.1034	0.6343	-+	51.8	2.075	1	0.1497
cg13580172			-0.0143	0.0538	0.7902	-+	25.4	1.340	1	0.247
cg09687322			-0.0168	0.0613	0.7834	--	0.0	0.038	1	0.8461
cg16821992			-0.0905	0.1022	0.3757	--	0.0	0.488	1	0.4847
cg20695368			-0.0502	0.0285	0.07844	+-	50.8	2.034	1	0.1539
cg27304177			0.0394	0.0403	0.3282	+-	51.9	2.079	1	0.1494
cg17257165			0.0379	0.0575	0.509	-+	0.0	0.392	1	0.5311
cg07823056			-0.0838	0.1372	0.5412	--	0.0	0.310	1	0.5777
cg19632772			-0.0115	0.0337	0.7318	-+	80.1	5.021	1	0.02505
cg24008117			0.0203	0.0612	0.7405	-+	0.0	0.367	1	0.5449
cg16007063			0.0113	0.0642	0.8599	+-	48.7	1.950	1	0.1626
cg14342850			-0.0412	0.1439	0.7748	-+	22.3	1.286	1	0.2567
cg09722383			0.0138	0.0452	0.7601	+-	0.0	0.129	1	0.7195
cg00357904			-0.0095	0.0561	0.8655	+-	7.6	1.082	1	0.2983
cg22944360			-0.0000	0.0343	0.9992	+-	0.0	0.705	1	0.401
cg00407962			-0.0680	0.0410	0.09731	-+	60.8	2.551	1	0.1102
cg05696136			0.0431	0.0421	0.3064	-+	64.2	2.796	1	0.09452
cg08566449			-0.0559	0.0703	0.4266	--	0.0	0.008	1	0.928
cg18495118			0.0032	0.0365	0.9295	-+	69.0	3.230	1	0.07229
cg06263438			0.0104	0.0471	0.8245	++	0.0	0.000	1	0.9836
cg09188868			-0.0008	0.0514	0.9869	-+	0.0	0.043	1	0.8357
cg13556910			-0.0280	0.0254	0.2709	--	0.0	0.120	1	0.7289
cg08003603			0.0528	0.0435	0.2248	++	45.2	1.825	1	0.1767
cg01404850			-0.0524	0.0658	0.4261	--	0.0	0.057	1	0.8117
cg04515462			-0.0277	0.0312	0.3753	-+	65.4	2.889	1	0.08916
cg07971894			0.0801	0.0813	0.3241	++	0.0	0.423	1	0.5156
cg13198500			-0.0586	0.0505	0.2458	--	36.7	1.580	1	0.2087
cg01416229			-0.1780	0.1410	0.207	--	31.3	1.455	1	0.2277
cg17001758			0.0114	0.0517	0.8261	+-	0.0	0.656	1	0.4181
cg09641432			0.0347	0.0941	0.7121	-+	0.0	0.234	1	0.6286
cg17375167			0.0662	0.0807	0.4117	++	0.0	0.039	1	0.8434
cg19282714			-0.0157	0.0395	0.6919	+-	5.2	1.054	1	0.3045
cg14433609			0.0479	0.0442	0.2794	++	0.0	0.013	1	0.9083
cg20351495			-0.0817	0.0585	0.1623	--	0.0	0.385	1	0.535
cg09629119			0.0522	0.0564	0.3551	++	0.0	0.372	1	0.5422
cg25546811			-0.0216	0.1051	0.8375	-+	8.9	1.098	1	0.2947
cg10787865			-0.0512	0.0388	0.1868	--	0.0	0.239	1	0.6249
cg13867237			-0.0903	0.0287	0.001678	--	0.0	0.008	1	0.9302
cg26225814			-0.0359	0.1014	0.723	-+	27.7	1.384	1	0.2394
cg20561790			0.1027	0.1434	0.4741	++	37.6	1.602	1	0.2056
cg26356865			0.0277	0.1034	0.789	++	0.0	0.030	1	0.8621
cg20524748			-0.0478	0.0455	0.2935	--	0.0	0.558	1	0.4551
cg20103177			0.0661	0.0374	0.07704	++	0.0	0.009	1	0.9257
cg07835199			0.0121	0.0456	0.7908	-+	0.0	0.184	1	0.6682
cg18289682			-0.0615	0.0468	0.1891	--	0.0	0.122	1	0.7269
cg21024881			-0.0033	0.0464	0.9439	-+	0.0	0.563	1	0.4531
cg02713760			-0.0069	0.0752	0.9274	+-	0.0	0.761	1	0.3829
cg08525481			0.0227	0.0489	0.6425	+-	0.0	0.248	1	0.6184
cg15525043			-0.0109	0.0326	0.7379	-+	0.0	0.344	1	0.5578
cg19458078			-0.0300	0.0632	0.6346	-+	0.0	0.190	1	0.6627
cg02858066			0.0485	0.0967	0.6156	-+	23.8	1.313	1	0.2518
cg03854796			0.0396	0.0353	0.2623	++	0.0	0.430	1	0.5119
cg04332058			0.1361	0.1928	0.4803	++	0.0	0.009	1	0.9251
cg00995147			-0.0609	0.0445	0.1718	+-	64.4	2.807	1	0.09383
cg22071210			-0.0119	0.0502	0.8127	--	0.0	0.026	1	0.8713
cg00035812			0.0080	0.0541	0.8819	+-	63.0	2.705	1	0.1
cg25716158			-0.1227	0.0463	0.008107	--	49.6	1.986	1	0.1588
cg02095557			-0.0259	0.0591	0.6611	-+	30.7	1.444	1	0.2295
cg10888115			0.0122	0.0429	0.7754	+-	0.0	0.214	1	0.644
cg12098750			-0.0701	0.1246	0.5739	--	0.0	0.134	1	0.7144
cg27649089			-0.0311	0.0297	0.2964	--	0.0	0.130	1	0.7181
cg04857172			0.0166	0.0420	0.6935	+-	55.3	2.237	1	0.1348
cg10068105			0.0130	0.0541	0.8094	-+	90.5	10.474	1	0.00121
cg16075903			0.0576	0.0343	0.09304	++	5.3	1.056	1	0.3042
cg22878634			0.0241	0.0483	0.6182	-+	40.9	1.691	1	0.1934
cg23435924			0.0208	0.0457	0.6494	+-	52.7	2.112	1	0.1462
cg05036874			0.0133	0.0683	0.8451	-+	55.0	2.223	1	0.1359
cg05697866			0.0631	0.1121	0.5737	+-	0.0	0.794	1	0.3728
cg03962809			0.0058	0.0419	0.8892	-+	0.0	0.507	1	0.4763
cg02470851			-0.0783	0.0419	0.06202	--	59.2	2.452	1	0.1174
cg22258527			0.0041	0.0558	0.9419	-+	41.1	1.698	1	0.1925
cg01365762			0.0526	0.0508	0.3007	++	0.0	0.804	1	0.3698
cg06308666			-0.0741	0.0410	0.07064	--	61.2	2.575	1	0.1086
cg19925791			-0.0180	0.0382	0.6373	--	0.0	0.000	1	0.9994
cg08087379			0.0468	0.0393	0.2337	++	0.0	0.181	1	0.6701
cg20091414			0.0584	0.0667	0.3811	++	21.1	1.267	1	0.2602
cg11539364			0.0803	0.1147	0.484	+-	0.0	0.759	1	0.3836
cg08320911			-0.0566	0.1076	0.5988	--	0.0	0.070	1	0.791
cg00597713			0.0454	0.0427	0.2878	+-	78.5	4.641	1	0.03122
cg00779206			0.0319	0.0517	0.5374	++	0.0	0.243	1	0.6224
cg26059555			-0.0075	0.0392	0.8476	+-	74.2	3.881	1	0.04882
cg12964792			0.0171	0.1095	0.8756	+-	0.0	0.052	1	0.8198
cg22233808			0.0334	0.0946	0.7243	+-	0.0	0.200	1	0.655
cg10176345			0.0240	0.0604	0.6912	++	0.0	0.057	1	0.8108
cg13190879			0.0876	0.0475	0.06494	+-	67.4	3.068	1	0.07984
cg18184910			-0.0034	0.0428	0.9359	-+	0.0	0.216	1	0.6423
cg05649708			0.0883	0.0611	0.1485	+-	26.2	1.356	1	0.2443
cg22111113			0.0541	0.0397	0.1727	++	0.0	0.320	1	0.5716
cg27101802			-0.0608	0.0408	0.136	--	0.0	0.072	1	0.7881
cg08215649			0.0819	0.0532	0.1239	++	0.0	0.030	1	0.8625
cg07883762			0.1353	0.1759	0.4416	+-	44.3	1.795	1	0.1803
cg26648024			0.0108	0.0523	0.8362	-+	0.0	0.174	1	0.677
cg02937986			-0.0600	0.0394	0.1278	--	0.0	0.406	1	0.5242
cg08828621			0.0078	0.0323	0.809	-+	0.0	0.939	1	0.3325
cg23597834			-0.0061	0.0413	0.8818	--	0.0	0.006	1	0.9392
cg02074116			-0.0100	0.1099	0.9275	+-	3.4	1.035	1	0.309
cg27286227			-0.0517	0.0295	0.0795	--	0.0	0.198	1	0.6567
cg25788103			-0.0934	0.1580	0.5545	-+	0.0	0.623	1	0.4298
cg06894186			0.0058	0.0996	0.9532	-+	75.6	4.095	1	0.04301
cg13820260			-0.0578	0.0472	0.2209	--	0.0	0.155	1	0.6938
cg02447451			0.0508	0.0650	0.4341	+-	82.5	5.724	1	0.01673
cg13175120			0.1166	0.0973	0.231	++	0.0	0.085	1	0.7706
cg03253433			0.0001	0.0385	0.9987	-+	0.0	0.857	1	0.3545
cg26872041			0.0375	0.0685	0.5838	-+	0.0	0.844	1	0.3583
cg17466598			-0.0672	0.0545	0.2179	+-	47.3	1.898	1	0.1683
cg24503024			0.0577	0.0389	0.1382	-+	74.8	3.961	1	0.04658
cg02111443			-0.0199	0.0583	0.7329	+-	81.9	5.535	1	0.01864
cg10308682			0.0065	0.0523	0.9008	+-	77.0	4.357	1	0.03685
cg25735593			0.0416	0.0893	0.6411	++	0.0	0.038	1	0.8455
cg02320083			0.5656	0.1828	0.001974	++	0.0	0.957	1	0.3279
cg02305850			-0.0415	0.1112	0.7091	--	0.0	0.072	1	0.7879
cg10356908			-0.0611	0.1159	0.5977	--	0.0	0.073	1	0.7872
cg20310681			0.0314	0.0713	0.6593	++	0.0	0.000	1	0.9872
cg12137864			-0.0149	0.0520	0.775	-+	27.1	1.372	1	0.2415
cg03592045			-0.0158	0.0498	0.7517	--	0.0	0.100	1	0.7518
cg14843989			-0.0628	0.0990	0.526	--	0.0	0.013	1	0.9084
cg22746182			-0.0447	0.0843	0.5957	--	0.0	0.090	1	0.7645
cg12415116			-0.0718	0.0418	0.08613	--	0.0	0.284	1	0.5944
cg25622325			-0.0000	0.0351	0.999	-+	0.0	0.004	1	0.9472
cg07587588			-0.1554	0.1096	0.1563	--	0.0	0.737	1	0.3907
cg26187205			-0.0145	0.1318	0.9121	-+	0.0	0.280	1	0.597
cg03161324			-0.0814	0.0470	0.08325	+-	90.5	10.563	1	0.001154
cg04031016			0.0477	0.0374	0.2023	++	0.0	0.670	1	0.413
cg16510949			-0.0260	0.0641	0.6847	-+	0.0	0.295	1	0.5868
cg00117172			-0.0956	0.0505	0.05848	--	0.0	0.525	1	0.4688
cg11150382			-0.0450	0.0503	0.3708	-+	0.0	0.518	1	0.4717
cg09074755			0.0602	0.0412	0.1439	++	0.0	0.061	1	0.8044
cg15463356			-0.0590	0.0457	0.197	--	0.0	0.145	1	0.7029
cg21623186			-0.0848	0.0754	0.2608	--	0.0	0.182	1	0.6698
cg05460965			0.0069	0.0298	0.817	-+	35.9	1.560	1	0.2116
cg13559235			0.0343	0.0422	0.4163	++	0.0	0.182	1	0.6698
cg12635233			-0.1517	0.0988	0.1245	--	6.4	1.068	1	0.3014
cg12401953			-0.0135	0.0512	0.7918	+-	32.7	1.485	1	0.2229
cg23300529			0.0466	0.0383	0.223	+-	67.2	3.053	1	0.08057
cg23793172			-0.0438	0.0497	0.3777	-+	0.0	0.798	1	0.3717
cg21771628			-0.0701	0.0498	0.1591	--	0.0	0.520	1	0.4709
cg05523253			0.0089	0.0458	0.8455	+-	0.0	0.527	1	0.4677
cg06151579			-0.0278	0.0598	0.6426	+-	34.9	1.536	1	0.2151
cg27088655			-0.0400	0.0390	0.3042	+-	82.5	5.715	1	0.01682
cg16253203			0.0063	0.0336	0.852	++	0.0	0.002	1	0.964
cg02079463			-0.0093	0.0596	0.8758	+-	0.0	0.167	1	0.6832
cg19076313			-0.0017	0.0460	0.9698	+-	0.0	0.232	1	0.63
cg21429105			-0.0015	0.0866	0.9858	+-	0.0	0.586	1	0.444
cg03274197			0.0485	0.0342	0.1569	++	51.8	2.074	1	0.1498
cg15858994			0.0836	0.0369	0.02368	++	0.0	0.565	1	0.4522
cg05895091			-0.0208	0.0638	0.7442	-+	58.8	2.429	1	0.1191
cg27530015			-0.0986	0.0532	0.06365	--	0.0	0.680	1	0.4096
cg19681836			-0.0045	0.0919	0.961	-+	56.6	2.303	1	0.1291
cg12932733			0.0015	0.0421	0.9718	-+	49.2	1.967	1	0.1608
cg05255807			-0.0446	0.0407	0.2734	--	13.1	1.150	1	0.2835
cg18904017			-0.0445	0.0529	0.4004	--	0.0	0.087	1	0.7686
cg21466874			-0.0533	0.0355	0.1327	--	0.0	0.017	1	0.8974
cg04053571			-0.0177	0.0745	0.812	-+	0.0	0.666	1	0.4143
cg25493671			0.0075	0.0710	0.9163	-+	0.0	0.446	1	0.504
cg11610403			0.0097	0.0575	0.8656	-+	67.2	3.045	1	0.08099
cg20769820			-0.0547	0.0610	0.3696	--	0.0	0.412	1	0.5211
cg01341486			0.0055	0.0388	0.8881	+-	0.0	0.013	1	0.9106
cg14814637			-0.0614	0.1010	0.5432	--	0.0	0.324	1	0.5693
cg09287420			0.0292	0.0471	0.5356	++	0.0	0.112	1	0.7376
cg26845817			0.0019	0.0869	0.9825	-+	0.0	0.167	1	0.6824
cg04701661			-0.0110	0.0322	0.7315	--	0.0	0.095	1	0.7574
cg23327425			0.0139	0.0562	0.8048	-+	0.0	0.084	1	0.772
cg05146409			0.0106	0.0378	0.7789	+-	22.4	1.289	1	0.2562
cg24682747			0.0299	0.0569	0.5991	+-	73.6	3.794	1	0.05143
cg00124045			0.0378	0.0655	0.5637	++	0.0	0.016	1	0.8995
cg13808198			0.0815	0.0384	0.03363	++	4.0	1.042	1	0.3074
cg15268182			-0.1179	0.1107	0.2868	-+	0.0	0.940	1	0.3322
cg24005310			-0.0077	0.0587	0.8958	+-	47.5	1.904	1	0.1677
cg03164498			-0.0250	0.0869	0.7735	+-	0.0	0.457	1	0.4988
cg13192239			0.0651	0.0327	0.04628	++	0.0	0.609	1	0.435
cg17996092			-0.0841	0.0424	0.04723	--	0.0	0.017	1	0.8951
cg26915889			0.0060	0.0349	0.8629	+-	0.0	0.652	1	0.4194
cg09221823			0.0182	0.0360	0.6134	-+	0.0	0.910	1	0.34
cg23690380			-0.0413	0.0351	0.2393	--	0.0	0.767	1	0.3811
cg08468274			0.0190	0.0367	0.6056	++	0.0	0.006	1	0.9388
cg11281845			0.0103	0.0350	0.7687	+-	0.0	0.257	1	0.6122
cg13407664			0.0204	0.0805	0.7997	++	0.0	0.000	1	0.9864
cg14519793			0.0383	0.0465	0.4096	+-	0.0	0.520	1	0.4709
cg02749752			0.0193	0.0319	0.5445	++	0.0	0.094	1	0.7591
cg04774930			-0.0346	0.0453	0.4451	--	0.0	0.109	1	0.7408
cg15244965			0.2280	0.1042	0.02867	++	0.0	0.035	1	0.8507
cg21171815			-0.0443	0.0474	0.3496	--	0.0	0.123	1	0.7255
cg06721429			0.0021	0.0611	0.9721	+-	50.2	2.009	1	0.1563
cg19909127			-0.0457	0.0627	0.4666	--	0.0	0.104	1	0.7473
cg16578613			-0.0539	0.0675	0.4248	+-	64.2	2.792	1	0.09471
cg13075581			-0.0957	0.0859	0.2651	--	0.0	0.148	1	0.7002
cg04578761			0.0998	0.0738	0.1766	++	0.0	0.203	1	0.6525
cg06165723			-0.0453	0.0364	0.2143	--	0.0	0.006	1	0.9381
cg16381059			0.0385	0.0514	0.4543	++	0.0	0.129	1	0.7197
cg00060475			0.1273	0.1896	0.502	++	0.0	0.057	1	0.8109
cg07291005			-0.0248	0.0369	0.5006	--	0.0	0.156	1	0.6925
cg06346929			0.0798	0.0475	0.09337	++	0.0	0.006	1	0.9376
cg25640176			0.0810	0.0394	0.0401	++	0.0	0.616	1	0.4324
cg17127816			0.1265	0.0416	0.002367	++	54.9	2.217	1	0.1365
cg19301020			-0.0671	0.0474	0.1571	-+	55.1	2.230	1	0.1354
cg12633356			0.0076	0.0669	0.9092	-+	32.0	1.470	1	0.2254
cg18654932			0.0804	0.0654	0.2194	++	0.0	0.093	1	0.7604
cg25617328			0.0077	0.0420	0.8545	-+	0.5	1.005	1	0.3162
cg08084036			0.0085	0.0503	0.865	+-	0.0	0.624	1	0.4296
cg11495719			-0.0715	0.0866	0.4089	--	0.0	0.313	1	0.5756
cg22920707			-0.1073	0.1815	0.5546	-+	0.0	0.478	1	0.4894
cg02013146			0.0101	0.0380	0.7901	+-	0.0	0.856	1	0.355
cg00922281			-0.0846	0.0594	0.1545	--	0.0	0.238	1	0.6256
cg18958693			0.0852	0.0608	0.1612	+-	83.0	5.873	1	0.01538
cg21548806			0.0880	0.0881	0.3173	++	0.0	0.008	1	0.9304
cg09787381			-0.0444	0.0889	0.6169	--	0.0	0.051	1	0.8219
cg26236109			-0.0083	0.0400	0.8353	-+	0.0	0.180	1	0.671
cg14007757			-0.0818	0.0845	0.333	--	0.0	0.284	1	0.5941
cg21154222			0.0235	0.0539	0.6631	++	0.0	0.139	1	0.7089
cg14875852			0.0412	0.0411	0.3172	++	0.0	0.218	1	0.6407
cg08162803			-0.0012	0.0742	0.9875	+-	0.0	0.281	1	0.5957
cg18090991			0.0491	0.0723	0.4972	++	0.0	0.003	1	0.9585
cg02375320			-0.0129	0.1027	0.8999	-+	42.9	1.752	1	0.1856
cg04724174			-0.0829	0.0680	0.2228	--	0.0	0.188	1	0.6644
cg01117730			0.1077	0.0862	0.2115	++	0.0	0.123	1	0.7255
cg00082939			0.0084	0.0824	0.919	+-	0.0	0.616	1	0.4327
cg01525432			-0.0293	0.0472	0.5348	-+	39.4	1.651	1	0.1988
cg04657461			0.0158	0.0492	0.7484	+-	83.1	5.903	1	0.01512
cg02519452			-0.0936	0.0484	0.05336	--	0.0	0.145	1	0.7036
cg16823042			0.1212	0.1855	0.5135	++	0.0	0.198	1	0.6567
cg18097707			-0.0743	0.0508	0.1433	--	0.0	0.471	1	0.4927
cg26688775			0.0425	0.1079	0.6938	-+	0.0	0.521	1	0.4706
cg12484024			-0.0276	0.0379	0.4668	--	0.0	0.317	1	0.5734
cg18093866			0.0405	0.0327	0.2155	++	0.0	0.005	1	0.9416
cg16900508			-0.0175	0.0452	0.6989	+-	0.0	0.417	1	0.5183
cg06209830			0.0047	0.0385	0.9029	+-	0.0	0.468	1	0.4941
cg24482503			-0.0381	0.0523	0.4659	-+	68.7	3.191	1	0.07404
cg08795589			0.0345	0.0934	0.712	+-	0.0	0.755	1	0.3849
cg17579986			-0.0114	0.0560	0.838	+-	0.0	0.317	1	0.5733
cg09988944			-0.0023	0.0391	0.9534	+-	0.0	0.615	1	0.433
cg02683578			-0.0139	0.0628	0.8254	+-	18.1	1.221	1	0.2693
cg13445486			-0.0577	0.0558	0.3011	+-	22.5	1.290	1	0.2561
cg01908133			-0.0140	0.0521	0.7879	-+	38.3	1.622	1	0.2028
cg09231536			0.0274	0.0272	0.3134	+-	55.0	2.221	1	0.1362
cg23820945			-0.1723	0.0830	0.0378	--	0.0	0.012	1	0.9127
cg24461952			-0.0759	0.0770	0.3239	--	0.0	0.413	1	0.5202
cg15746502			-0.0087	0.0638	0.8912	-+	30.0	1.429	1	0.2319
cg22488745			0.0157	0.0540	0.7714	++	0.0	0.090	1	0.7646
cg17645664			-0.0335	0.0371	0.3664	-+	77.2	4.383	1	0.03629
cg26821362			-0.0071	0.0402	0.86	+-	0.0	0.523	1	0.4696
cg03548091			-0.0549	0.0470	0.243	--	0.0	0.522	1	0.4701
cg06603936			0.0015	0.0581	0.9798	-+	49.4	1.975	1	0.1599
cg08170745			-0.0642	0.0420	0.1266	--	0.0	0.241	1	0.6236
cg12260808			0.0227	0.0347	0.5139	-+	6.7	1.071	1	0.3006
cg02108015			-0.0441	0.0378	0.2433	+-	25.1	1.334	1	0.248
cg18507129			0.0576	0.0613	0.3474	++	0.0	0.075	1	0.7847
cg06800231			-0.0403	0.0729	0.5802	+-	58.8	2.426	1	0.1193
cg22823038			-0.0072	0.0527	0.8919	+-	0.0	0.068	1	0.7943
cg17326771			0.0179	0.0358	0.6165	+-	0.0	0.673	1	0.4119
cg22858749			-0.0258	0.0469	0.5826	-+	0.0	0.663	1	0.4156
cg10621213			-0.0906	0.0523	0.08333	--	35.3	1.545	1	0.2139
cg15301752			-0.0119	0.0447	0.7906	-+	34.2	1.520	1	0.2175
cg19519980			-0.3540	0.1443	0.01418	--	75.2	4.036	1	0.04454
cg19817540			-0.0822	0.0814	0.3122	--	0.0	0.200	1	0.6551
cg10219128			-0.0144	0.0358	0.6869	--	0.0	0.014	1	0.9071
cg00819081			0.0306	0.0347	0.3773	++	0.0	0.995	1	0.3184
cg12468017			-0.0109	0.0313	0.7282	-+	0.0	0.222	1	0.6378
cg19904425			0.1461	0.0688	0.03365	++	0.0	0.772	1	0.3795
cg09759260			-0.0644	0.0525	0.2197	--	0.0	0.217	1	0.6413
cg25346122			-0.0812	0.0426	0.05637	--	21.3	1.270	1	0.2598
cg20053001			-0.0062	0.0523	0.9052	+-	0.0	0.683	1	0.4087
cg08330183			-0.0642	0.0689	0.352	-+	67.6	3.085	1	0.079
cg14065585			0.0636	0.0335	0.05773	++	0.0	0.065	1	0.7995
cg00678630			-0.0233	0.0491	0.6352	+-	81.1	5.302	1	0.0213
cg03125909			0.0083	0.0302	0.7828	-+	0.0	0.780	1	0.3771
cg04115893			0.0240	0.0409	0.5571	+-	0.0	0.725	1	0.3945
cg21759745			-0.0091	0.0442	0.8363	--	0.0	0.026	1	0.872
cg05384827			0.0126	0.0369	0.7336	++	0.0	0.089	1	0.7656
cg25195960			-0.1093	0.0618	0.07687	--	0.0	0.330	1	0.5658
cg18431100			0.0071	0.0840	0.9327	-+	0.0	0.989	1	0.3199
cg11581475			0.0128	0.0377	0.7335	++	0.0	0.000	1	0.9876
cg23209878			0.1827	0.0489	0.0001873	++	37.5	1.600	1	0.2059
cg06092948			-0.0458	0.0550	0.4049	--	0.0	0.752	1	0.3858
cg23061020			0.0444	0.0573	0.438	-+	0.0	0.873	1	0.3502
cg04144768			0.0988	0.0421	0.01881	++	0.0	0.048	1	0.8257
cg16049975			-0.0389	0.0288	0.1764	--	66.2	2.961	1	0.08528
cg12488833			-0.0321	0.0739	0.6643	-+	31.1	1.451	1	0.2284
cg18574112			-0.0455	0.0517	0.3785	-+	35.8	1.557	1	0.212
cg21502356			-0.0329	0.0582	0.5714	--	0.0	0.080	1	0.7775
cg13959110			0.0261	0.0620	0.6739	-+	0.0	0.414	1	0.5198
cg14184873			-0.1397	0.0506	0.005727	--	0.0	0.167	1	0.6828
cg12727529			-0.1346	0.1040	0.1955	--	0.0	0.026	1	0.8709
cg18947000			0.0051	0.0390	0.8963	+-	62.0	2.631	1	0.1048
cg14929207			0.1158	0.0798	0.1467	++	0.0	0.440	1	0.5071
cg24690314			0.1306	0.1281	0.3078	-+	51.2	2.050	1	0.1522
cg14457876			-0.0238	0.0244	0.3296	--	0.0	0.215	1	0.6425
cg17474950			0.0805	0.0514	0.117	++	0.0	0.817	1	0.3659
cg02169542			0.0420	0.0515	0.4152	++	0.0	0.088	1	0.7662
cg05423393			0.0106	0.0586	0.8568	+-	32.8	1.487	1	0.2226
